owner,name,url,stars,createdAt,idade_dias,updatedAt,dias_desde_ultima_atualizacao,releases,prsMerged,issuesTotal,issuesClosed,closedRatio,primaryLanguage
tauri-apps,tauri,https://github.com/tauri-apps/tauri,95712,2019-07-13T09:09:37Z,2229,2025-08-19T20:20:39Z,0,1000,5165,5765,4641,0.805,Rust
ant-design,ant-design,https://github.com/ant-design/ant-design,95697,2015-04-24T15:37:24Z,3770,2025-08-19T19:44:02Z,0,714,15764,31614,30386,0.9612,TypeScript
microsoft,generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,95221,2023-06-19T16:28:59Z,792,2025-08-19T20:57:13Z,0,0,376,176,165,0.9375,Jupyter Notebook
nvbn,thefuck,https://github.com/nvbn/thefuck,93570,2015-04-08T15:08:04Z,3786,2025-08-19T20:40:23Z,0,17,481,759,472,0.6219,Python
ryanmcdermott,clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,93366,2016-11-25T22:25:41Z,3188,2025-08-19T19:34:51Z,0,0,149,235,163,0.6936,JavaScript
shadcn-ui,ui,https://github.com/shadcn-ui/ui,93220,2023-01-04T12:43:27Z,958,2025-08-19T21:04:52Z,0,52,636,3342,2376,0.711,TypeScript
Anduin2017,HowToCook,https://github.com/Anduin2017/HowToCook,92557,2020-02-29T10:43:49Z,1998,2025-08-19T20:31:44Z,0,4,586,780,346,0.4436,Dockerfile
pytorch,pytorch,https://github.com/pytorch/pytorch,92514,2016-08-13T05:26:41Z,3293,2025-08-19T20:51:19Z,0,61,6192,53194,37709,0.7089,Python
iluwatar,java-design-patterns,https://github.com/iluwatar/java-design-patterns,92511,2014-08-09T16:45:18Z,4028,2025-08-19T15:31:05Z,0,0,1507,959,830,0.8655,Java
neovim,neovim,https://github.com/neovim/neovim,92092,2014-01-31T13:39:22Z,4218,2025-08-19T20:39:22Z,0,45,16124,13115,11471,0.8746,Vim Script
puppeteer,puppeteer,https://github.com/puppeteer/puppeteer,91771,2017-05-09T22:16:13Z,3023,2025-08-19T20:28:01Z,0,557,5416,7217,6950,0.963,TypeScript
microsoft,Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,91453,2020-11-10T02:44:00Z,1743,2025-08-19T20:48:36Z,0,0,514,331,242,0.7311,JavaScript
deepseek-ai,DeepSeek-R1,https://github.com/deepseek-ai/DeepSeek-R1,90900,2025-01-20T11:57:28Z,211,2025-08-19T19:37:19Z,0,1,9,631,584,0.9255,
PanJiaChen,vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,89784,2017-04-17T03:35:49Z,3046,2025-08-19T15:50:12Z,0,49,311,3609,2357,0.6531,Vue
tailwindlabs,tailwindcss,https://github.com/tailwindlabs/tailwindcss,89647,2017-10-06T14:59:14Z,2874,2025-08-19T20:59:00Z,0,290,3070,4538,4458,0.9824,TypeScript
fastapi,fastapi,https://github.com/fastapi/fastapi,88550,2018-12-08T08:21:47Z,2446,2025-08-19T21:05:53Z,0,208,2737,3466,3417,0.9859,Python
mtdvio,every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know,87860,2017-08-24T13:18:26Z,2917,2025-08-19T19:37:57Z,0,0,99,52,23,0.4423,
storybookjs,storybook,https://github.com/storybookjs/storybook,87552,2016-03-18T04:23:44Z,3441,2025-08-19T20:29:53Z,0,1000,11474,13688,11612,0.8483,TypeScript
jaywcjlove,awesome-mac,https://github.com/jaywcjlove/awesome-mac,87349,2016-07-17T15:33:47Z,3320,2025-08-19T20:33:53Z,0,12,990,478,365,0.7636,JavaScript
supabase,supabase,https://github.com/supabase/supabase,87334,2019-10-12T05:56:49Z,2138,2025-08-19T20:43:01Z,0,22,12919,4655,4417,0.9489,TypeScript
openai,whisper,https://github.com/openai/whisper,86900,2022-09-16T20:02:54Z,1068,2025-08-19T20:36:59Z,0,13,119,0,0,0.0,Python
nvm-sh,nvm,https://github.com/nvm-sh/nvm,86456,2010-04-15T17:47:47Z,5605,2025-08-19T18:47:45Z,0,70,729,2314,1997,0.863,Shell
comfyanonymous,ComfyUI,https://github.com/comfyanonymous/ComfyUI,85959,2023-01-17T03:15:56Z,945,2025-08-19T21:04:09Z,0,72,1185,6154,3653,0.5936,Python
ChatGPTNextWeb,NextChat,https://github.com/ChatGPTNextWeb/NextChat,85530,2023-03-10T18:27:54Z,893,2025-08-19T19:07:39Z,0,77,889,3547,2887,0.8139,TypeScript
2dust,v2rayN,https://github.com/2dust/v2rayN,85203,2019-07-30T03:47:24Z,2212,2025-08-19T21:01:07Z,0,264,272,6018,6012,0.999,C#
ggml-org,llama.cpp,https://github.com/ggml-org/llama.cpp,85156,2023-03-10T18:58:00Z,893,2025-08-19T20:33:47Z,0,1000,5483,5690,5356,0.9413,C++
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,85095,2010-12-19T15:16:43Z,5357,2025-08-19T19:20:15Z,0,56,15502,8681,8270,0.9527,C++
florinpop17,app-ideas,https://github.com/florinpop17/app-ideas,84934,2019-02-25T18:36:56Z,2367,2025-08-19T18:22:07Z,0,0,149,170,44,0.2588,
django,django,https://github.com/django/django,84625,2012-04-28T02:47:18Z,4861,2025-08-19T20:59:35Z,0,0,9849,0,0,0.0,Python
sveltejs,svelte,https://github.com/sveltejs/svelte,83796,2016-11-20T18:13:05Z,3194,2025-08-19T19:47:02Z,0,510,5988,8494,7680,0.9042,JavaScript
gin-gonic,gin,https://github.com/gin-gonic/gin,83645,2014-06-16T23:57:25Z,4081,2025-08-19T19:45:38Z,0,27,1114,2348,1680,0.7155,Go
opencv,opencv,https://github.com/opencv/opencv,83616,2012-07-19T09:40:17Z,4779,2025-08-19T20:57:19Z,0,66,13078,11232,8629,0.7683,C++
gohugoio,hugo,https://github.com/gohugoio/hugo,82940,2013-07-04T15:26:26Z,4429,2025-08-19T20:21:42Z,0,337,2953,7796,7356,0.9436,Go
gothinkster,realworld,https://github.com/gothinkster/realworld,82240,2016-02-26T20:49:53Z,3462,2025-08-19T18:09:36Z,0,0,433,542,503,0.928,TypeScript
mermaid-js,mermaid,https://github.com/mermaid-js/mermaid,82231,2014-11-01T23:52:32Z,3943,2025-08-19T19:35:22Z,0,161,2437,3366,2097,0.623,TypeScript
animate-css,animate.css,https://github.com/animate-css/animate.css,82052,2011-10-12T10:07:38Z,5060,2025-08-19T19:51:26Z,0,22,315,880,841,0.9557,CSS
laravel,laravel,https://github.com/laravel/laravel,81861,2011-06-08T03:06:08Z,5186,2025-08-19T20:29:42Z,0,197,1640,0,0,0.0,Blade
macrozheng,mall,https://github.com/macrozheng/mall,81324,2018-04-04T01:11:44Z,2694,2025-08-19T15:41:33Z,0,3,1,497,487,0.9799,Java
home-assistant,core,https://github.com/home-assistant/core,80823,2013-09-17T07:29:48Z,4354,2025-08-19T20:46:19Z,0,1000,75750,62431,60050,0.9619,Python
DigitalPlatDev,FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,80358,2024-05-30T13:23:00Z,446,2025-08-19T20:50:22Z,0,0,0,0,0,0.0,HTML
tonsky,FiraCode,https://github.com/tonsky/FiraCode,79914,2014-11-11T19:32:38Z,3934,2025-08-19T20:47:03Z,0,29,137,1364,954,0.6994,Clojure
oven-sh,bun,https://github.com/oven-sh/bun,79785,2021-04-14T00:48:17Z,1588,2025-08-19T20:15:05Z,0,196,5955,13072,8292,0.6343,Zig
3b1b,manim,https://github.com/3b1b/manim,79635,2015-03-22T18:50:58Z,3803,2025-08-19T19:28:38Z,0,13,642,1212,761,0.6279,Python
spring-projects,spring-boot,https://github.com/spring-projects/spring-boot,78133,2012-10-19T15:02:57Z,4687,2025-08-19T21:00:55Z,0,317,42,39265,38702,0.9857,Java
doocs,advanced-java,https://github.com/doocs/advanced-java,78113,2018-10-06T11:38:30Z,2509,2025-08-19T16:48:49Z,0,1,88,147,146,0.9932,Java
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,77991,2019-10-03T17:31:21Z,2147,2025-08-19T18:12:39Z,0,0,302,99,64,0.6465,Python
tensorflow,models,https://github.com/tensorflow/models,77621,2016-02-05T01:15:20Z,3483,2025-08-19T14:19:44Z,0,50,2341,7312,6236,0.8528,Python
x1xhlol,system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,77618,2025-03-05T16:38:29Z,167,2025-08-19T20:56:02Z,0,0,23,99,54,0.5455,
MunGell,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,76749,2015-10-24T19:53:36Z,3587,2025-08-19T20:47:09Z,0,0,453,185,174,0.9405,
microsoft,ML-For-Beginners,https://github.com/microsoft/ML-For-Beginners,76693,2021-03-03T01:34:05Z,1630,2025-08-19T19:47:58Z,0,0,374,146,140,0.9589,HTML
DopplerHQ,awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,76588,2015-11-28T09:48:17Z,3552,2025-08-19T20:51:10Z,0,0,175,61,34,0.5574,
nomic-ai,gpt4all,https://github.com/nomic-ai/gpt4all,76486,2023-03-27T18:49:32Z,876,2025-08-19T20:49:25Z,0,38,934,2185,1487,0.6805,C++
MisterBooo,LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,76397,2018-12-06T08:01:22Z,2448,2025-08-19T17:11:23Z,0,0,63,62,42,0.6774,Java
microsoft,playwright,https://github.com/microsoft/playwright,76133,2019-11-15T18:32:42Z,2104,2025-08-19T20:41:22Z,0,150,15054,16297,15467,0.9491,TypeScript
netdata,netdata,https://github.com/netdata/netdata,75595,2013-06-17T18:39:10Z,4446,2025-08-19T19:35:35Z,0,120,10919,8112,7947,0.9797,C
FortAwesome,Font-Awesome,https://github.com/FortAwesome/Font-Awesome,75578,2012-02-17T14:19:43Z,4932,2025-08-19T19:35:37Z,0,60,211,19748,15999,0.8102,JavaScript
fighting41love,funNLP,https://github.com/fighting41love/funNLP,75538,2018-08-21T11:20:39Z,2555,2025-08-19T18:06:33Z,0,0,14,81,47,0.5802,Python
ByteByteGoHq,system-design-101,https://github.com/ByteByteGoHq/system-design-101,75409,2023-09-18T20:52:03Z,701,2025-08-19T20:57:50Z,0,0,23,54,17,0.3148,
syncthing,syncthing,https://github.com/syncthing/syncthing,75232,2013-11-26T09:48:21Z,4284,2025-08-19T21:05:20Z,0,439,2754,5695,5364,0.9419,Go
anuraghazra,github-readme-stats,https://github.com/anuraghazra/github-readme-stats,75123,2020-07-09T10:34:22Z,1867,2025-08-19T19:15:29Z,0,0,1303,1304,1108,0.8497,JavaScript
vitejs,vite,https://github.com/vitejs/vite,74804,2020-04-21T05:03:57Z,1946,2025-08-19T16:49:05Z,0,598,5582,8080,7616,0.9426,TypeScript
typicode,json-server,https://github.com/typicode/json-server,74799,2013-11-27T13:21:13Z,4283,2025-08-19T20:04:49Z,0,38,121,1168,549,0.47,JavaScript
unionlabs,union,https://github.com/unionlabs/union,74185,2023-05-16T22:33:39Z,825,2025-08-19T20:12:22Z,0,95,2749,1822,1590,0.8727,Rust
ruanyf,weekly,https://github.com/ruanyf/weekly,74011,2018-10-13T12:36:07Z,2502,2025-08-19T16:56:30Z,0,0,101,7078,1078,0.1523,
elastic,elasticsearch,https://github.com/elastic/elasticsearch,73579,2010-02-08T13:20:56Z,5671,2025-08-19T21:03:43Z,0,202,80420,40575,36252,0.8935,Java
immich-app,immich,https://github.com/immich-app/immich,73576,2022-02-03T15:56:27Z,1293,2025-08-19T20:55:54Z,0,260,7129,6261,5688,0.9085,TypeScript
hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,73555,2019-08-21T13:15:24Z,2190,2025-08-19T19:28:52Z,0,83,1864,2044,1554,0.7603,TypeScript
coder,code-server,https://github.com/coder/code-server,73463,2019-02-27T16:50:41Z,2365,2025-08-19T19:38:10Z,0,200,1576,3703,3569,0.9638,TypeScript
louislam,uptime-kuma,https://github.com/louislam/uptime-kuma,73457,2021-07-03T01:02:42Z,1508,2025-08-19T19:38:16Z,0,111,1317,4158,3449,0.8295,JavaScript
vuejs,awesome-vue,https://github.com/vuejs/awesome-vue,73187,2015-10-20T00:16:14Z,3591,2025-08-19T18:38:53Z,0,0,3574,228,190,0.8333,
junegunn,fzf,https://github.com/junegunn/fzf,73010,2013-10-23T16:04:23Z,4318,2025-08-19T20:50:37Z,0,70,595,3014,2780,0.9224,Go
sdmg15,Best-websites-a-programmer-should-visit,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,72790,2017-03-05T20:25:17Z,3089,2025-08-19T19:55:25Z,0,0,431,174,103,0.592,
hacksider,Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,72589,2023-09-24T13:19:31Z,695,2025-08-19T18:25:49Z,0,8,85,982,916,0.9328,Python
nestjs,nest,https://github.com/nestjs/nest,72299,2017-02-04T20:12:52Z,3118,2025-08-19T20:01:04Z,0,131,7404,5672,5643,0.9949,TypeScript
microsoft,markitdown,https://github.com/microsoft/markitdown,72015,2024-11-13T19:56:40Z,279,2025-08-19T20:58:29Z,0,14,147,323,69,0.2136,Python
d2l-ai,d2l-zh,https://github.com/d2l-ai/d2l-zh,71793,2017-08-23T04:40:24Z,2918,2025-08-19T20:55:52Z,0,16,1019,0,0,0.0,Python
CompVis,stable-diffusion,https://github.com/CompVis/stable-diffusion,71349,2022-08-10T14:36:44Z,1105,2025-08-19T20:26:38Z,0,0,5,727,195,0.2682,Jupyter Notebook
clash-verge-rev,clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,70878,2023-11-21T18:24:03Z,637,2025-08-19T19:38:32Z,0,49,316,3765,3661,0.9724,TypeScript
abi,screenshot-to-code,https://github.com/abi/screenshot-to-code,70753,2023-11-14T17:53:32Z,644,2025-08-19T21:05:49Z,0,0,49,382,278,0.7277,Python
thedaviddias,Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,70666,2017-10-16T10:12:36Z,2864,2025-08-19T20:46:36Z,0,1,179,148,147,0.9932,
redis,redis,https://github.com/redis/redis,70524,2009-03-21T22:32:25Z,5994,2025-08-19T20:35:18Z,0,96,4159,6779,4627,0.6825,C
google-gemini,gemini-cli,https://github.com/google-gemini/gemini-cli,70510,2025-04-17T17:04:31Z,124,2025-08-19T21:01:32Z,0,44,1853,3451,1940,0.5622,TypeScript
moby,moby,https://github.com/moby/moby,70492,2013-01-18T18:10:57Z,4596,2025-08-19T19:49:16Z,0,237,21471,23123,19927,0.8618,Go
pallets,flask,https://github.com/pallets/flask,70197,2010-04-06T11:11:59Z,5614,2025-08-19T19:36:06Z,0,37,1613,2692,2691,0.9996,Python
ventoy,Ventoy,https://github.com/ventoy/Ventoy,69963,2020-03-10T15:19:19Z,1988,2025-08-19T19:24:16Z,0,105,280,2527,1670,0.6609,C
Developer-Y,cs-video-courses,https://github.com/Developer-Y/cs-video-courses,69600,2016-10-21T17:02:11Z,3224,2025-08-19T19:39:41Z,0,0,234,0,0,0.0,
grafana,grafana,https://github.com/grafana/grafana,69523,2013-12-11T15:59:56Z,4269,2025-08-19T20:48:10Z,0,550,56673,40935,37449,0.9148,TypeScript
enaqx,awesome-react,https://github.com/enaqx/awesome-react,69468,2014-08-06T05:31:44Z,4031,2025-08-19T20:41:25Z,0,0,780,113,109,0.9646,
hakimel,reveal.js,https://github.com/hakimel/reveal.js,69435,2011-06-07T18:54:22Z,5187,2025-08-19T20:35:17Z,0,49,409,2462,1690,0.6864,JavaScript
josephmisiti,awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,69369,2014-07-15T19:11:19Z,4053,2025-08-19T19:22:06Z,0,0,872,93,93,1.0,Python
swisskyrepo,PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings,69305,2016-10-18T07:29:07Z,3227,2025-08-19T20:53:56Z,0,5,548,0,0,0.0,Python
strapi,strapi,https://github.com/strapi/strapi,69154,2015-09-30T15:34:48Z,3611,2025-08-19T19:40:14Z,0,477,9121,11174,10183,0.9113,TypeScript
binary-husky,gpt_academic,https://github.com/binary-husky/gpt_academic,69131,2023-03-20T09:05:13Z,883,2025-08-19T14:46:36Z,0,32,223,1741,1478,0.8489,Python
swiftlang,swift,https://github.com/swiftlang/swift,68968,2015-10-23T21:15:07Z,3587,2025-08-19T19:29:35Z,0,60,55418,16771,9424,0.5619,C++
tesseract-ocr,tesseract,https://github.com/tesseract-ocr/tesseract,68924,2014-08-12T18:04:59Z,4025,2025-08-19T19:50:07Z,0,34,1411,2725,2303,0.8451,C++
protocolbuffers,protobuf,https://github.com/protocolbuffers/protobuf,68839,2014-08-26T15:52:15Z,4011,2025-08-19T21:01:29Z,0,195,7776,6640,6406,0.9648,C++
python,cpython,https://github.com/python/cpython,68445,2017-02-10T19:23:51Z,3112,2025-08-19T20:28:36Z,0,0,52770,73330,66097,0.9014,Python
base,node,https://github.com/base/node,68442,2023-02-01T13:55:02Z,930,2025-08-19T15:01:58Z,0,54,186,239,190,0.795,Go
sherlock-project,sherlock,https://github.com/sherlock-project/sherlock,68089,2018-12-24T14:30:48Z,2430,2025-08-19T20:39:04Z,0,1,642,1074,970,0.9032,Python
browser-use,browser-use,https://github.com/browser-use/browser-use,67984,2024-10-31T16:00:56Z,292,2025-08-19T20:58:42Z,0,73,970,1053,549,0.5214,Python
ocornut,imgui,https://github.com/ocornut/imgui,67665,2014-07-21T14:29:47Z,4047,2025-08-19T19:44:09Z,0,114,405,6533,5521,0.8451,C++
apache,superset,https://github.com/apache/superset,67638,2015-07-21T18:55:34Z,3682,2025-08-19T21:06:04Z,0,232,14820,11624,11159,0.96,TypeScript
expressjs,express,https://github.com/expressjs/express,67542,2009-06-26T18:56:01Z,5898,2025-08-19T21:03:36Z,0,160,458,3990,3885,0.9737,JavaScript
openai,openai-cookbook,https://github.com/openai/openai-cookbook,67260,2022-03-11T02:08:53Z,1257,2025-08-19T20:37:28Z,0,0,861,597,556,0.9313,Jupyter Notebook
Alvin9999,new-pac,https://github.com/Alvin9999/new-pac,67158,2016-03-23T08:43:36Z,3436,2025-08-19T21:01:59Z,0,0,0,1769,1333,0.7535,Python
punkpeye,awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,66598,2024-11-30T04:49:10Z,262,2025-08-19T21:06:35Z,0,0,920,102,74,0.7255,
PKUFlyingPig,cs-self-learning,https://github.com/PKUFlyingPig/cs-self-learning,66543,2021-10-20T13:43:42Z,1399,2025-08-19T17:23:53Z,0,5,297,211,104,0.4929,HTML
chartjs,Chart.js,https://github.com/chartjs/Chart.js,66391,2013-03-17T23:56:36Z,4537,2025-08-19T19:50:15Z,0,116,3002,7265,6804,0.9365,JavaScript
obsproject,obs-studio,https://github.com/obsproject/obs-studio,66283,2013-10-01T02:40:31Z,4340,2025-08-19T21:02:46Z,0,223,5203,4602,3930,0.854,C
caddyserver,caddy,https://github.com/caddyserver/caddy,66237,2015-01-13T19:45:03Z,3871,2025-08-19T20:15:09Z,0,128,2117,4322,4143,0.9586,Go
localsend,localsend,https://github.com/localsend/localsend,66183,2022-12-16T00:46:07Z,977,2025-08-19T20:54:06Z,0,24,667,1429,644,0.4507,Dart
ansible,ansible,https://github.com/ansible/ansible,65963,2012-03-06T14:58:02Z,4914,2025-08-19T19:50:31Z,0,162,39191,33024,32473,0.9833,Python
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,65738,2014-07-17T08:51:11Z,4051,2025-08-19T20:47:26Z,0,0,800,583,237,0.4065,
rasbt,LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,65701,2023-07-23T18:15:57Z,758,2025-08-19T21:07:27Z,0,0,387,170,166,0.9765,Jupyter Notebook
Eugeny,tabby,https://github.com/Eugeny/tabby,65599,2016-12-23T09:06:10Z,3161,2025-08-19T18:45:01Z,0,200,1489,5716,3415,0.5974,TypeScript
leonardomso,33-js-concepts,https://github.com/leonardomso/33-js-concepts,65526,2018-09-04T13:27:04Z,2541,2025-08-19T19:15:07Z,0,0,252,103,81,0.7864,JavaScript
webpack,webpack,https://github.com/webpack/webpack,65492,2012-03-10T10:08:14Z,4910,2025-08-19T19:53:11Z,0,438,5104,10091,9970,0.988,JavaScript
astral-sh,uv,https://github.com/astral-sh/uv,65242,2023-10-02T20:24:11Z,687,2025-08-19T20:28:37Z,0,208,7180,7336,5431,0.7403,Rust
nektos,act,https://github.com/nektos/act,65202,2019-01-02T19:53:43Z,2421,2025-08-19T19:51:48Z,0,88,1045,1281,1061,0.8283,Go
danielmiessler,SecLists,https://github.com/danielmiessler/SecLists,65026,2012-02-19T01:30:18Z,4930,2025-08-19T20:06:47Z,0,28,681,296,290,0.9797,PHP
AppFlowy-IO,AppFlowy,https://github.com/AppFlowy-IO/AppFlowy,64981,2021-06-16T12:56:48Z,1525,2025-08-19T17:31:46Z,0,111,3882,3616,2642,0.7306,Dart
xtekky,gpt4free,https://github.com/xtekky/gpt4free,64980,2023-03-29T17:00:43Z,874,2025-08-19T18:38:11Z,0,330,812,1860,1853,0.9962,Python
modelcontextprotocol,servers,https://github.com/modelcontextprotocol/servers,64901,2024-11-19T01:10:17Z,273,2025-08-19T21:00:15Z,0,19,867,632,457,0.7231,TypeScript
lydiahallie,javascript-questions,https://github.com/lydiahallie/javascript-questions,64781,2019-06-12T08:26:27Z,2260,2025-08-19T20:38:53Z,0,0,328,250,233,0.932,
lobehub,lobe-chat,https://github.com/lobehub/lobe-chat,64628,2023-05-21T07:19:12Z,821,2025-08-19T21:02:02Z,0,1000,2501,4318,3437,0.796,TypeScript
binhnguyennus,awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,64612,2017-12-27T03:46:40Z,2792,2025-08-19T20:09:10Z,0,0,36,0,0,0.0,
Stirling-Tools,Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF,64457,2023-01-27T18:22:42Z,935,2025-08-19T19:35:14Z,0,135,2201,1393,1077,0.7732,Java
apache,echarts,https://github.com/apache/echarts,64400,2013-04-03T03:18:59Z,4521,2025-08-19T19:53:17Z,0,122,1446,19080,17222,0.9026,TypeScript
kdn251,interviews,https://github.com/kdn251/interviews,64372,2017-02-14T18:19:25Z,3108,2025-08-19T19:49:36Z,0,0,42,56,24,0.4286,Java
awesomedata,awesome-public-datasets,https://github.com/awesomedata/awesome-public-datasets,64106,2014-11-20T06:20:50Z,3925,2025-08-19T20:45:20Z,0,1,188,118,48,0.4068,
zed-industries,zed,https://github.com/zed-industries/zed,64009,2021-02-20T03:01:06Z,1641,2025-08-19T21:04:10Z,0,963,16254,14054,11445,0.8144,Rust
jesseduffield,lazygit,https://github.com/jesseduffield/lazygit,63774,2018-05-19T00:53:06Z,2649,2025-08-19T20:33:15Z,0,169,1687,2289,1591,0.6951,Go
kelseyhightower,nocode,https://github.com/kelseyhightower/nocode,63761,2018-02-06T23:54:00Z,2750,2025-08-19T17:41:34Z,0,1,1,4861,716,0.1473,Dockerfile
twitter,the-algorithm,https://github.com/twitter/the-algorithm,63501,2023-03-27T14:57:57Z,876,2025-08-19T09:26:16Z,0,0,2,1010,729,0.7218,Scala
keras-team,keras,https://github.com/keras-team/keras,63349,2015-03-28T00:35:42Z,3797,2025-08-19T19:53:21Z,0,80,4232,12526,12294,0.9815,Python
juliangarnier,anime,https://github.com/juliangarnier/anime,63263,2016-03-13T21:37:45Z,3445,2025-08-19T20:15:01Z,0,22,79,793,718,0.9054,JavaScript
scikit-learn,scikit-learn,https://github.com/scikit-learn/scikit-learn,63069,2010-08-17T09:43:38Z,5481,2025-08-19T18:49:11Z,0,47,13453,11650,10069,0.8643,Python
bradtraversy,design-resources-for-developers,https://github.com/bradtraversy/design-resources-for-developers,62764,2020-05-06T14:40:35Z,1931,2025-08-19T16:40:48Z,0,0,949,104,104,1.0,
TheAlgorithms,Java,https://github.com/TheAlgorithms/Java,62739,2016-07-16T10:21:02Z,3321,2025-08-19T19:24:10Z,0,0,2017,1108,1100,0.9928,Java
infiniflow,ragflow,https://github.com/infiniflow/ragflow,62646,2023-12-12T06:13:13Z,616,2025-08-19T20:20:05Z,0,30,3709,4929,2284,0.4634,TypeScript
labmlai,annotated_deep_learning_paper_implementations,https://github.com/labmlai/annotated_deep_learning_paper_implementations,62618,2020-08-25T02:29:34Z,1820,2025-08-19T19:32:09Z,0,0,101,137,113,0.8248,Python
resume,resume.github.com,https://github.com/resume/resume.github.com,62598,2011-02-06T13:39:55Z,5308,2025-08-19T09:42:00Z,0,0,84,122,66,0.541,JavaScript
chrislgarry,Apollo-11,https://github.com/chrislgarry/Apollo-11,62478,2014-04-03T15:45:02Z,4156,2025-08-19T16:39:40Z,0,0,343,382,326,0.8534,Assembly
socketio,socket.io,https://github.com/socketio/socket.io,62310,2010-03-11T18:24:48Z,5640,2025-08-19T19:53:29Z,0,75,435,3616,3422,0.9463,TypeScript
All-Hands-AI,OpenHands,https://github.com/All-Hands-AI/OpenHands,62301,2024-03-13T03:33:31Z,524,2025-08-19T20:30:11Z,0,75,5104,3263,2940,0.901,Python
prakhar1989,awesome-courses,https://github.com/prakhar1989/awesome-courses,62275,2014-11-15T18:36:49Z,3930,2025-08-19T20:47:36Z,0,0,194,80,39,0.4875,
sindresorhus,awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,62269,2014-07-11T13:35:34Z,4057,2025-08-19T20:29:02Z,0,0,418,104,102,0.9808,
FuelLabs,sway,https://github.com/FuelLabs/sway,62144,2021-01-19T20:54:33Z,1673,2025-08-19T16:52:52Z,0,178,3497,3297,2448,0.7425,Rust
facebook,docusaurus,https://github.com/facebook/docusaurus,61358,2017-06-20T16:13:53Z,2982,2025-08-19T19:53:33Z,0,151,5482,3319,3025,0.9114,TypeScript
reduxjs,redux,https://github.com/reduxjs/redux,61307,2015-05-29T23:53:15Z,3734,2025-08-19T15:54:33Z,0,78,1720,2063,2025,0.9816,TypeScript
dair-ai,Prompt-Engineering-Guide,https://github.com/dair-ai/Prompt-Engineering-Guide,60875,2022-12-16T16:04:50Z,977,2025-08-19T20:25:36Z,0,0,338,222,71,0.3198,MDX
lodash,lodash,https://github.com/lodash/lodash,60856,2012-04-07T04:11:46Z,4882,2025-08-19T19:53:48Z,0,2,581,4312,4228,0.9805,JavaScript
atom,atom,https://github.com/atom/atom,60570,2012-01-20T18:18:21Z,4960,2025-08-19T14:14:46Z,0,538,3933,17110,16148,0.9438,JavaScript
h5bp,Front-end-Developer-Interview-Questions,https://github.com/h5bp/Front-end-Developer-Interview-Questions,60508,2012-02-09T23:34:10Z,4939,2025-08-19T19:55:31Z,0,0,484,177,143,0.8079,Nunjucks
xingshaocheng,architect-awesome,https://github.com/xingshaocheng/architect-awesome,60391,2018-04-06T13:30:58Z,2692,2025-08-19T17:11:23Z,0,0,49,71,22,0.3099,
openinterpreter,open-interpreter,https://github.com/openinterpreter/open-interpreter,60315,2023-07-14T07:10:44Z,767,2025-08-19T18:36:18Z,0,48,369,1025,797,0.7776,Python
Shubhamsaboo,awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,60178,2024-04-29T05:30:25Z,477,2025-08-19T21:03:43Z,0,0,132,92,87,0.9457,Python
localstack,localstack,https://github.com/localstack/localstack,60159,2016-10-25T23:48:03Z,3219,2025-08-19T21:07:18Z,0,94,6223,5995,5757,0.9603,Python
adam-p,markdown-here,https://github.com/adam-p/markdown-here,59999,2012-05-13T03:27:22Z,4846,2025-08-19T19:55:48Z,0,17,27,629,324,0.5151,JavaScript
alacritty,alacritty,https://github.com/alacritty/alacritty,59998,2016-02-18T05:02:30Z,3470,2025-08-19T20:43:42Z,0,101,1887,6123,5800,0.9472,Rust
prometheus,prometheus,https://github.com/prometheus/prometheus,59973,2012-11-24T11:14:12Z,4651,2025-08-19T19:57:21Z,0,341,7625,6165,5641,0.915,Go
