owner,name,url,stars,createdAt,idade_dias,updatedAt,dias_desde_ultima_atualizacao,releases,prsMerged,issuesTotal,issuesClosed,closedRatio,primaryLanguage
eugeneyan,applied-ml,https://github.com/eugeneyan/applied-ml,28235,2020-07-04T18:57:47Z,1872,2025-08-19T10:43:30Z,0,0,208,24,22,0.9167,
caolan,async,https://github.com/caolan/async,28223,2010-06-01T21:01:30Z,5558,2025-08-18T03:19:46Z,1,7,558,1142,1132,0.9912,JavaScript
GitbookIO,gitbook,https://github.com/GitbookIO/gitbook,28206,2014-03-31T03:01:56Z,4159,2025-08-19T20:55:29Z,0,75,1290,1910,1880,0.9843,TypeScript
linera-io,linera-protocol,https://github.com/linera-io/linera-protocol,28191,2021-12-19T04:09:21Z,1339,2025-08-19T18:10:02Z,0,18,2669,1239,755,0.6094,Rust
LizardByte,Sunshine,https://github.com/LizardByte/Sunshine,28189,2021-12-15T23:38:57Z,1342,2025-08-19T19:31:35Z,0,43,1469,1061,983,0.9265,C++
digitalocean,nginxconfig.io,https://github.com/digitalocean/nginxconfig.io,28181,2018-01-05T14:21:14Z,2783,2025-08-18T22:47:45Z,0,0,191,239,184,0.7699,JavaScript
alibaba,druid,https://github.com/alibaba/druid,28173,2011-11-03T05:12:51Z,5038,2025-08-19T07:02:24Z,0,51,1517,4536,2285,0.5037,Java
jashkenas,backbone,https://github.com/jashkenas/backbone,28107,2010-09-30T19:41:28Z,5437,2025-08-19T15:29:19Z,0,0,881,2406,2364,0.9825,JavaScript
NginxProxyManager,nginx-proxy-manager,https://github.com/NginxProxyManager/nginx-proxy-manager,28087,2017-12-20T23:01:16Z,2798,2025-08-19T19:34:36Z,0,77,526,2997,2083,0.695,JavaScript
dnSpy,dnSpy,https://github.com/dnSpy/dnSpy,28067,2015-07-01T16:05:10Z,3702,2025-08-19T15:24:58Z,0,1,53,0,0,0.0,C#
swagger-api,swagger-ui,https://github.com/swagger-api/swagger-ui,28046,2011-07-15T22:56:39Z,5148,2025-08-19T11:22:46Z,0,376,3306,5636,4426,0.7853,JavaScript
acheong08,ChatGPT,https://github.com/acheong08/ChatGPT,28033,2022-12-03T14:35:24Z,990,2025-08-19T15:09:35Z,0,277,292,803,792,0.9863,Python
zhiwehu,Python-programming-exercises,https://github.com/zhiwehu/Python-programming-exercises,28028,2012-06-14T07:56:46Z,4814,2025-08-19T18:04:04Z,0,0,0,85,17,0.2,
python-telegram-bot,python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,28014,2015-07-07T15:30:39Z,3696,2025-08-19T19:10:34Z,0,127,1636,2279,2264,0.9934,Python
mobxjs,mobx,https://github.com/mobxjs/mobx,28009,2015-03-14T14:31:38Z,3811,2025-08-19T15:08:46Z,0,113,1152,1971,1914,0.9711,TypeScript
JedWatson,react-select,https://github.com/JedWatson/react-select,28007,2014-08-26T04:27:45Z,4011,2025-08-19T12:55:45Z,0,61,1054,3629,3249,0.8953,TypeScript
datalab-to,marker,https://github.com/datalab-to/marker,28007,2023-10-30T20:14:08Z,659,2025-08-19T20:24:19Z,0,62,195,556,291,0.5234,Python
nagadomi,waifu2x,https://github.com/nagadomi/waifu2x,28003,2015-05-17T07:29:15Z,3747,2025-08-19T17:30:57Z,0,3,68,368,216,0.587,Lua
aquasecurity,trivy,https://github.com/aquasecurity/trivy,27956,2019-04-11T01:01:07Z,2322,2025-08-19T20:20:30Z,0,171,3178,2909,2750,0.9453,Go
ChartsOrg,Charts,https://github.com/ChartsOrg/Charts,27930,2015-03-20T10:49:12Z,3805,2025-08-19T17:08:18Z,0,38,427,4278,3388,0.792,Swift
lenve,vhr,https://github.com/lenve/vhr,27914,2018-01-04T08:57:51Z,2784,2025-08-19T14:18:10Z,0,0,1,254,97,0.3819,Java
google,python-fire,https://github.com/google/python-fire,27835,2017-02-21T21:35:07Z,3100,2025-08-19T14:47:56Z,0,12,135,332,207,0.6235,Python
tailwindlabs,headlessui,https://github.com/tailwindlabs/headlessui,27822,2020-09-16T09:53:09Z,1798,2025-08-19T14:31:35Z,0,127,619,1398,1288,0.9213,TypeScript
qianguyihao,Web,https://github.com/qianguyihao/Web,27818,2017-01-03T11:44:33Z,3150,2025-08-19T08:57:33Z,0,0,0,226,156,0.6903,
frappe,erpnext,https://github.com/frappe/erpnext,27810,2011-06-08T08:20:56Z,5186,2025-08-19T20:50:58Z,0,1000,26430,16761,14500,0.8651,Python
geekcompany,ResumeSample,https://github.com/geekcompany/ResumeSample,27809,2014-09-08T08:08:13Z,3998,2025-08-19T09:12:48Z,0,0,2,0,0,0.0,
michalsnik,aos,https://github.com/michalsnik/aos,27792,2015-07-09T17:49:00Z,3694,2025-08-19T20:43:05Z,0,0,38,704,360,0.5114,JavaScript
t3-oss,create-t3-app,https://github.com/t3-oss/create-t3-app,27790,2022-05-24T13:31:01Z,1183,2025-08-19T20:14:01Z,0,138,1114,738,675,0.9146,TypeScript
nginx,nginx,https://github.com/nginx/nginx,27775,2015-06-23T10:26:27Z,3710,2025-08-19T15:31:54Z,0,8,95,345,172,0.4986,C
raysan5,raylib,https://github.com/raysan5/raylib,27775,2013-10-24T15:46:04Z,4317,2025-08-19T19:51:02Z,0,24,2158,2028,2004,0.9882,C
CamDavidsonPilon,Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,27739,2013-01-14T15:46:28Z,4600,2025-08-19T18:46:08Z,0,0,243,247,90,0.3644,Jupyter Notebook
getredash,redash,https://github.com/getredash/redash,27676,2013-10-28T13:19:39Z,4313,2025-08-19T20:43:08Z,0,100,3255,2572,1956,0.7605,Python
kingToolbox,WindTerm,https://github.com/kingToolbox/WindTerm,27657,2019-10-09T19:56:09Z,2141,2025-08-19T21:03:46Z,0,32,1,2741,564,0.2058,C
YMFE,yapi,https://github.com/YMFE/yapi,27653,2016-05-30T09:09:09Z,3368,2025-08-19T16:42:18Z,0,1,141,2458,922,0.3751,JavaScript
sxyazi,yazi,https://github.com/sxyazi/yazi,27629,2023-07-08T11:45:55Z,773,2025-08-19T20:51:33Z,0,27,952,1409,1369,0.9716,Rust
BerriAI,litellm,https://github.com/BerriAI/litellm,27612,2023-07-27T00:09:52Z,754,2025-08-19T21:01:44Z,0,985,5288,6517,5662,0.8688,Python
JaidedAI,EasyOCR,https://github.com/JaidedAI/EasyOCR,27587,2020-03-14T11:46:39Z,1984,2025-08-19T20:43:17Z,0,23,177,1071,605,0.5649,Python
flameshot-org,flameshot,https://github.com/flameshot-org/flameshot,27559,2017-05-10T19:44:51Z,3023,2025-08-19T16:50:55Z,0,30,964,2753,2085,0.7574,C++
tj,commander.js,https://github.com/tj/commander.js,27558,2011-08-14T21:33:58Z,5118,2025-08-19T20:43:26Z,0,83,827,1138,1131,0.9938,JavaScript
imDazui,Tvlist-awesome-m3u-m3u8,https://github.com/imDazui/Tvlist-awesome-m3u-m3u8,27536,2017-02-18T03:59:25Z,3104,2025-08-19T09:17:00Z,0,0,1,73,49,0.6712,
svc-develop-team,so-vits-svc,https://github.com/svc-develop-team/so-vits-svc,27531,2023-03-10T09:31:09Z,893,2025-08-19T20:43:30Z,0,0,153,130,109,0.8385,Python
