repo,stars,releases,age_years,files,code,comment,n_classes,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std
keycloak/keycloak,29340,87,12.170987,3516,265706,99595,8698,6.866291,4.0,8.264454,1.541159,1.0,1.03829,73.196367,3.0,992.437676
xuxueli/xxl-job,29243,39,9.764491,140,9470,3522,171,4.777778,3.0,5.257798,1.128655,1.0,0.384781,20.426901,0.0,97.419947
wuyouzhuguli/SpringAll,28941,0,7.339916,422,11690,1295,378,5.243386,4.0,4.277387,1.111111,1.0,0.369002,3.748677,0.0,11.858038
alibaba/spring-cloud-alibaba,28732,48,7.754015,98,4399,2843,596,5.810403,5.0,4.829457,1.110738,1.0,0.354304,29.612416,0.0,309.962431
alibaba/druid,28186,51,13.833824,5198,412208,68529,5839,5.089399,4.0,12.953611,1.942456,2.0,0.835437,230.597876,0.0,5179.406398
lenve/vhr,27932,0,7.662281,92,3732,387,94,4.43617,2.0,5.843034,1.021277,1.0,0.145079,48.329787,6.0,225.794958
DrKLO/Telegram,27462,95,11.856078,2765,1332020,103424,13307,6.843766,4.0,13.32467,1.659578,1.0,16.673075,60.83813,0.0,1064.69425
conductor-oss/conductor,27283,25,1.737898,674,88403,17436,837,7.787336,6.0,8.452099,1.271207,1.0,0.546231,91.492234,0.0,620.146089
crossoverJie/JCSprout,27074,0,7.711545,109,4194,1425,162,1.962963,1.0,1.857966,1.092593,1.0,0.366375,1.765432,0.0,6.358389
qiurunze123/miaosha,26495,0,6.970102,259,9807,2218,286,4.146853,3.0,4.539817,1.125874,1.0,0.39054,14.300699,0.0,85.543713
apache/incubator-seata,25777,44,6.682169,925,65453,33329,3648,6.563322,4.0,22.069296,1.81716,1.0,15.083799,520.980263,2.0,15720.773965
alibaba/fastjson,25755,84,13.833623,3118,186859,14026,0,,,,,,,,,
ashishps1/awesome-system-design-resources,25717,0,1.85885,11,370,13,11,0.818182,1.0,0.603023,1.0,1.0,0.0,0.0,0.0,0.0
JakeWharton/butterknife,25489,0,12.497399,155,13327,691,272,3.959559,2.0,6.413936,1.235294,1.0,0.710857,10.481618,0.0,75.806461
hollischuang/toBeTopJavaer,25461,0,6.857244,0,0,0,0,,,,,,,,,
apache/flink,25211,0,11.240876,7309,826485,253644,24335,7.154058,5.0,8.639087,1.639408,1.0,1.836822,34.943168,1.0,1188.943969
scwang90/SmartRefreshLayout,25148,14,8.253552,146,18386,4275,341,6.651026,3.0,7.591302,1.507331,1.0,0.849276,30.319648,0.0,295.047405
proxyee-down-org/proxyee-down,24868,49,7.856536,42,3911,276,60,5.516667,4.0,6.223225,1.466667,1.0,0.929127,19.516667,2.0,49.728583
greenrobot/EventBus,24758,7,13.131598,97,5038,1718,183,3.42623,3.0,3.065901,1.836066,1.0,1.424052,9.054645,0.0,35.082278
OpenAPITools/openapi-generator,24725,73,7.311722,76,6135,3014,4339,5.179995,4.0,6.0742,1.233233,1.0,0.662847,83.698548,0.0,1067.235789
Anuken/Mindustry,24712,168,8.344868,805,129715,8299,0,,,,,,,,,
bazelbuild/bazel,24511,208,11.226159,1252,145210,60657,10654,7.550873,5.0,10.371997,1.621551,1.0,1.334087,68.087948,1.0,954.442412
apache/skywalking,24502,62,9.823068,134,8353,3342,2893,6.026962,4.0,6.977188,1.382302,1.0,0.715172,5.544763,0.0,24.733528
Netflix/Hystrix,24394,79,12.786251,388,47717,16573,2005,3.340648,2.0,5.187903,1.570075,1.0,3.59206,20.253865,0.0,385.241306
jenkinsci/jenkins,24374,441,14.779279,1827,197653,85481,4107,6.240078,4.0,8.489604,1.896762,2.0,1.769487,46.241782,0.0,915.72758
libgdx/libgdx,24322,14,13.06285,1470,192599,53711,4095,5.121856,3.0,8.839504,1.798046,1.0,1.619826,3442.141392,0.0,144398.424581
yuliskov/SmartTube,24287,909,5.099204,1623,261081,87536,3225,6.351628,4.0,7.668238,1.523721,1.0,1.432999,65.666357,1.0,451.933261
CodePhiliaX/Chat2DB,24173,43,2.20516,292,18918,4627,1045,6.086124,4.0,7.029375,1.266029,1.0,0.560552,16.489952,0.0,84.836642
redisson/redisson,24008,173,11.642529,2005,242545,89111,2854,5.959355,3.0,10.733774,1.342327,1.0,0.761993,180.474422,0.0,1618.795485
google/gson,23999,11,10.459293,258,36110,11788,1076,3.024164,2.0,4.463534,1.281599,1.0,1.024207,20.598513,0.0,378.734537
doocs/source-code-hunter,22936,0,5.850666,1,5,3,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
alibaba/Sentinel,22889,25,7.416141,636,36191,17225,1514,4.418758,3.0,4.50809,1.180317,1.0,0.65634,12.483487,0.0,46.736978
iBotPeaches/Apktool,22814,26,13.457305,147,14414,3336,171,6.011696,5.0,5.250197,1.783626,2.0,1.05995,57.596491,1.0,307.649908
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,22756,0,12.774843,0,0,0,91,2.901099,2.0,2.836488,1.0,1.0,0.0,0.230769,0.0,0.716115
apache/rocketmq,22063,22,8.757531,2107,247406,46642,2860,6.887413,3.5,10.494852,1.331469,1.0,0.75316,122.162937,1.0,2334.939267
google/ExoPlayer,21873,28,11.222815,1637,329127,104568,3281,7.587931,5.0,8.947627,1.295032,1.0,1.015791,52.220055,0.0,493.13864
elunez/eladmin,21765,1,6.720467,274,12710,8178,282,8.014184,5.0,7.683217,1.163121,1.0,0.448392,6.202128,0.0,19.223677
dataease/dataease,21678,97,4.582746,1000,54761,6239,1099,4.949955,3.0,7.361486,1.207461,1.0,0.681995,27.980892,0.0,184.489663
openjdk/jdk,21624,0,6.960989,0,0,0,0,,,,,,,,,
LSPosed/LSPosed,21454,39,4.724602,230,21730,4743,427,5.522248,3.0,7.247233,1.64637,1.0,1.28699,48.114754,0.0,319.849251
CarGuo/GSYVideoPlayer,21068,53,8.803553,278,33114,7067,636,5.485849,2.0,6.822943,1.575472,1.0,1.518068,55.355346,0.0,309.227719
oracle/graal,21061,32,9.635333,0,0,0,0,,,,,,,,,
brettwooldridge/HikariCP,20686,0,11.903582,113,14420,4042,185,4.383784,3.0,4.196111,1.286486,1.0,0.658623,172.67027,0.0,1408.661311
kunal-kushwaha/DSA-Bootcamp-Java,20506,0,4.094471,256,7537,853,253,1.268775,1.0,1.240397,1.083004,1.0,0.340733,3.501976,1.0,11.010682
kestra-io/kestra,20485,303,6.027217,1654,125430,8357,1919,8.203231,6.0,8.773263,1.451277,1.0,0.787412,14.930172,0.0,90.90388
apache/shardingsphere,20437,58,9.62488,542,29059,13229,7855,6.977085,4.0,12.939468,1.437301,1.0,0.942643,28.280713,0.0,408.414028
didi/DoKit,20392,14,7.054299,731,77640,28136,1569,4.506055,2.0,5.759098,1.320586,1.0,0.837477,71.76673,0.0,634.39898
mybatis/mybatis-3,20217,46,12.548193,1390,70762,28225,1744,3.538991,2.0,4.942199,1.239679,1.0,0.781974,20.951835,0.0,249.29116
ReactiveX/RxAndroid,20041,20,11.041381,12,1334,240,55,2.272727,1.0,3.788162,1.127273,1.0,0.432672,3.090909,0.0,11.233668
linlinjava/litemall,19887,8,7.450583,333,60606,40871,617,4.617504,3.0,5.849816,1.126418,1.0,0.33259,1532.884927,1.0,9402.600398
yudaocode/SpringBoot-Labs,19841,0,6.974408,27,506,132,1463,4.298018,4.0,2.965149,1.053315,1.0,0.271593,1.443609,0.0,6.74507
thingsboard/thingsboard,19638,70,8.754616,0,0,0,0,,,,,,,,,
xiaojieonly/Ehviewer_CN_SXJ,19482,106,4.815227,514,74302,14341,910,6.884615,4.0,9.822679,1.716484,1.0,1.240521,68.750549,1.0,661.490814
dianping/cat,18928,3,12.744466,1331,100033,22435,1892,5.527484,4.0,6.049049,1.434461,1.0,0.708367,23.035941,1.0,104.205827
Baseflow/PhotoView,18874,5,13.128892,25,1611,360,45,4.733333,3.0,5.544858,1.355556,1.0,0.570309,24.6,0.0,157.258531
JetBrains/intellij-community,18729,4,13.92596,0,0,0,0,,,,,,,,,
antlr/antlr4,18283,31,15.578247,513,49186,16297,662,5.773414,3.0,7.225984,1.835347,1.0,1.166251,48.302115,0.0,192.863428
williamfiset/Algorithms,18187,0,8.462432,316,30731,9028,463,2.611231,2.0,1.791044,1.053996,1.0,0.226254,16.196544,3.0,38.507016
Tencent/APIJSON,18150,109,8.781709,68,14864,4938,70,5.885714,3.0,8.672032,1.242857,1.0,0.668889,1165.571429,6.0,5422.453973
dromara/Sa-Token,18125,38,5.581331,868,37863,35706,748,4.506684,3.0,4.382173,1.223262,1.0,0.779348,61.145722,1.0,701.529189
forezp/SpringCloudLearning,17973,0,8.404108,127,2435,344,143,4.552448,4.0,2.366665,1.048951,1.0,0.216524,0.545455,0.0,1.860362
LMAX-Exchange/disruptor,17970,14,12.94853,240,17807,7078,410,4.480488,3.0,4.822103,1.290244,1.0,0.810175,25.882927,0.0,224.699486
YunaiV/yudao-cloud,17801,32,6.339084,223,6602,3094,3792,7.847046,6.0,7.355525,1.212289,1.0,0.434015,16.077268,0.0,503.441187
ashishps1/awesome-low-level-design,17639,0,1.79492,787,16377,737,792,2.628788,2.0,2.549352,1.138889,1.0,0.43361,3.051768,0.0,11.120696
Tencent/tinker,17504,60,8.990367,222,29098,8029,520,4.794231,3.0,7.117102,1.603846,1.0,2.505636,28.471154,0.0,110.991898
openzipkin/zipkin,17290,97,13.240941,439,44349,6474,0,,,,,,,,,
infinilabs/analysis-ik,17188,1,13.715662,33,2701,1424,38,4.815789,4.0,3.593201,1.368421,1.0,0.488852,15.421053,2.5,28.359308
justauth/JustAuth,17165,46,6.588959,147,9649,3335,198,5.510101,2.0,6.031844,1.343434,1.0,0.581642,12.984848,6.0,19.531954
facebook/fresco,17134,55,10.506794,615,61064,15323,1055,6.646445,5.0,6.851302,1.418009,1.0,0.893078,28.74218,0.0,128.779314
baomidou/mybatis-plus,17093,38,9.042027,791,40369,22654,1042,5.910749,4.0,9.463957,1.332054,1.0,0.788431,25.073896,0.0,151.498716
ben-manes/caffeine,17003,71,10.723223,617,92242,20538,1336,4.916168,3.0,6.730923,1.587575,1.0,1.429951,163.169162,0.0,1724.58138
